PRODUCT,SHIFTDATE,REMARK,LINE,DOWNTIMEMINUTE,SORUN,
JTE163,2023-12-01,DPS ERROR,Line7,26.350000,176135-0,
JTC1163,2023-12-01,GREASE ISSUE,Line6,3.050000,176242-0,
JTC1163,2023-12-01,SEALER PROBLEM,Line6,1.380000,176242-0,
JTE769,2023-12-01,SEALER PROBLEM,Line1,2.320000,176138-0,
JBJ165.ZFB,2023-12-01,PRESS MACHINE ISSUE,Line2,16.580000,176124-1,
JTC1290.ZFB,2023-12-01,SEALER PROBLEM,Line12,45.850000,176149-0,
JTC1290.ZFB,2023-12-01,LABEL PROBLEM,Line12,0.620000,176149-0,
JTC2173.ZFB,2023-12-01,RESETTING,Line5,0.300000,176274-0,
JTS1748.ZFB,2023-12-01,GREASE ISSUE,Line1,9.170000,176142-0,
JAR7572,2023-12-04,SEALER PROBLEM,Line9,24.350000,176175-0,
JBJ7534,2023-12-04,PRESS MACHINE ISSUE,Line1,6.220000,176177-0,
JBJ7534,2023-12-04,MACHINING TOOL CHANGE,Line1,0.080000,176177-0,
JBJ7534,2023-12-04,RESETTING,Line1,4.520000,176177-0,
JBJ7534,2023-12-05,BEARING / SCREW BROKEN,Line1,2.470000,176177-1,
JTC2793.ZFB,2023-12-05,PRESS MACHINE ISSUE,Line5,51.280000,176342-0,
JTC2793.ZFB,2023-12-05,BRIEFING / TRAINING,Line5,6.450000,176342-0,
JTE1023,2023-12-05,SEALER PROBLEM,Line8,20.070000,176318-0,
JTC2184,2023-12-05,CHANGE LINE,Line11,33.000000,176395-0,
JTS7564,2023-12-05,PRESS MACHINE ISSUE,Line4,1.330000,176306-0,
J51912HG.S,2023-12-06,POWER TRIP,CNC1,10.300000,176396-0,
JTE418,2023-12-06,POWER TRIP,Line1,1.750000,176387-0,
JTC421,2023-12-06,POWER TRIP,Line5,63.630000,176331-0,
JBJ721,2023-12-06,RESETTING,Line3,13.020000,176384-0,
JBJ721,2023-12-06,CHANGE LINE,Line3,2.100000,176384-0,
JTE7750,2023-12-06,CHANGE LINE,Line7,15.970000,176388-0,
JBJ721,2023-12-06,CHANGE LINE,Line3,0.950000,176384-1,
JBJ730,2023-12-07,CHANGE LINE,Line2,123.950000,176358-1,
JBJ730,2023-12-07,PRESS MACHINE ISSUE,Line2,7.020000,176358-1,
J51913HG.S,2023-12-08,MACHINING TOOL CHANGE,CNC1,7.250000,176397-0,
JTC2700.ZFB,2023-12-08,PRESS MACHINE ISSUE,Line5,6.020000,176410-0,
JTE458,2023-12-08,BEARING / SCREW BROKEN,Line3,12.780000,176482-0,
JBJ7539,2023-12-08,PRESS MACHINE ISSUE,Line2,154.370000,176449-0,
JTC1058.ZFB,2023-12-09,RESETTING,Line6,8.020000,176442-0,
JTC1058.ZFB,2023-12-11,PRESS MACHINE ISSUE,Line6,6.300000,176442-1,
JTE7731.ZFB,2023-12-11,PRESS MACHINE ISSUE,Line4,12.250000,176496-0,
JTE7731,2023-12-11,PRESS MACHINE ISSUE,Line4,3.200000,176527-0,
JBJ135,2023-12-12,BEARING / SCREW BROKEN,Line8,6.950000,176542-0,
JTE775,2023-12-12,CHANGE LINE,Line7,59.530000,176550-1,
JTC953,2023-12-13,PRESS MACHINE ISSUE,Line5,6.320000,176578-0,
JTE7749,2023-12-14,RESETTING,Line7,4.530000,176432-0,
JTE1117.ZFB,2023-12-15,RESETTING,Line1,15.250000,176589-1,
JAR994,2023-12-15,MACHINING TOOL CHANGE,Line9,4.870000,176584-0,
JTC1399,2023-12-15,POWER TRIP,Line6,28.650000,176636-0,
JTC1427,2023-12-15,POWER TRIP,Line5,25.250000,176605-1,
JTE986.ZFB,2023-12-15,POWER TRIP,Line4,15.480000,176593-0,
JTC2701.ZFB,2023-12-16,POWER TRIP,Line5,40.120000,176598-0,
JAR649,2023-12-16,POWER TRIP,Line9,1.730000,176581-0,
JTE1062.S,2023-12-18,BEARING / SCREW BROKEN,Line3,7.180000,176663-0,
JBJ368.ZFB,2023-12-18,BEARING / SCREW BROKEN,Line8,29.600000,176657-0,
J51924HG.S,2023-12-19,POWER TRIP,CNC1,9.000000,176541-7,
J51914HG.S,2023-12-19,RESETTING,CNC2,147.720000,176552-2,
J51914HG.S,2023-12-19,POWER TRIP,CNC2,8.900000,176552-2,
JTE169,2023-12-19,BEARING / SCREW BROKEN,Line3,0.720000,176714-0,
JTE169,2023-12-19,BRIEFING / TRAINING,Line3,1.430000,176714-0,
JBJ721,2023-12-19,CHANGE LINE,Line7,176.020000,176679-1,
21389806.Z,2023-12-19,GREASE ISSUE,Line5,10.600000,176698-5,
JTS280.ZFB,2023-12-20,ABNORMALITY,Line4,3.470000,176717-0,
JTE163,2023-12-20,CHANGE LINE,Line8,84.770000,176757-1,
JTE458,2023-12-21,BEARING / SCREW BROKEN,Line3,8.200000,176846-0,
JTE1060,2023-12-21,RESETTING,Line4,1.480000,176881-0,
JTC312,2023-12-22,SEALER PROBLEM,Line6,15.180000,176827-1,
JRA541,2023-12-23,SEALER PROBLEM,Line2,5.930000,176818-3,
JTE1055,2023-12-23,BEARING / SCREW BROKEN,Line4,7.330000,176774-1,
JTE756,2023-12-23,BEARING / SCREW BROKEN,Line4,9.630000,176907-0,
JTE757,2023-12-23,SEALER PROBLEM,Line4,4.420000,176776-0,
JTC348,2023-12-26,BEARING / SCREW BROKEN,Line6,16.170000,176925-1,
JTE1188,2023-12-26,PRESS MACHINE ISSUE,Line3,2.280000,176882-0,
JBJ703,2023-12-26,LABEL PROBLEM,Line7,18.770000,176905-0,
JTC1303,2023-12-26,POWER TRIP,Line6,5.400000,176792-0,
JAR107,2023-12-26,PRESS MACHINE ISSUE,Line9,5.030000,176813-0,
JTC1304,2023-12-26,PRESS MACHINE ISSUE,Line6,19.230000,176793-0,
JTE161,2023-12-27,ABNORMALITY,Line3,3.880000,176940-0,
JBJ922,2023-12-27,PRESS MACHINE ISSUE,Line8,34.150000,176787-4,
JBJ725,2023-12-27,CHANGE LINE,Line1,0.220000,176928-0,
JTE2066,2023-12-27,BEARING / SCREW BROKEN,Line7,6.570000,176941-0,
JBJ320.ZFB,2023-12-28,PRESS MACHINE ISSUE,Line1,4.130000,176937-0,
JBJ320.ZFB,2023-12-28,SEALER PROBLEM,Line1,5.820000,176937-0,
JBJ320.ZFB,2023-12-28,CHANGE LINE,Line1,9.730000,176937-0,
JBJ368,2023-12-29,CHANGE LINE,Line2,0.100000,176974-1,
JBJ100,2023-12-29,SEALER PROBLEM,Line7,6.670000,176986-1,
JTE1023,2023-12-29,PRESS MACHINE ISSUE,Line1,4.220000,176930-0,
JBJ713.ZFB,2023-12-29,BEARING / SCREW BROKEN,Line4,19.100000,176966-0,
JBJ1253.ZFB,2023-12-29,CHANGE LINE,Line8,22.370000,176963-0,
JBJ767,2023-12-29,PRESS MACHINE ISSUE,Line1,11.230000,176992-0,
JTE1187.ZFB,2023-12-29,RESETTING,Line7,6.020000,176817-1,
JBJ803.ZFB,2023-12-29,RESETTING,Line2,8.550000,176982-1,
JBJ803.ZFB,2023-12-29,RESETTING,Line2,5.980000,176982-2,
JBJ719,2023-12-29,PRESS MACHINE ISSUE,Line3,4.730000,176991-0,
JAR1012,2024-01-01,SEALER PROBLEM,Line9,23.970000,177003-0,
JTC1791.ZFB,2024-01-01,SEALER PROBLEM,Line6,16.750000,177051-0,
JTS636,2024-01-01,SEALER PROBLEM,Line12,7.780000,177035-0,
JTE457,2024-01-01,BEARING / SCREW BROKEN,Line3,7.620000,177027-0,
